P6_DEVWEB_2024_001,Diallo,"Ibrahima Kaba",783332212,dev_web,08:00,present,2024-04-15,6
P6_DEVWEB_2024_001,Bah,"Khalil",780000000,dev_data,08:10,present,2024-04-15,1
P6_DEVWEB_2024_001,Diallo,"Aminata Star paradise",785106300,ref_dig,07:50,present,2024-04-15,1
P6_DEVWEB_2024_002,Sow,"Moussa",784567810,dev_web,08:50,present,2024-04-15,1
P6_DEVWEB_2024_003,Diallo,"Ibrahima",784567810,dev_web,09:30,present,2024-04-14,1
P6_DEVWEB_2024_001,Diop,"Mouhmed",784567810,dev_web,-,absent,2024-03-05,1
P6_DEVWEB_2024_001,Diop,"Aissata",784567810,dev_web,-,absent,2024-03-05,1
P6_DEVWEB_2024_001,Hazard,"Eden",784567810,dev_web,07:55,present,2024-03-05,1
P6_DEVWEB_2024_001,Abba,"Show",761233222,dev_web,-,absent,2024-03-05,1
P6_DEVWEB_2024_001,Phone,"Phone",784567810,ref_dig,-,absent,2024-04-04,1
P6_DEVWEB_2024_001,Diop,"Moustapha",784567810,ref_dig,10:00,present,2024-04-04,1
P6_DEVWEB_2024_001,Ya,"Awa",784567810,ref_dig,-,absent,2024-04-04,1
